image_path,mask_path
../data/train/image/1.jpg,../data/train/mask/1.png
../data/train/image/10.jpg,../data/train/mask/10.png
../data/train/image/11.jpg,../data/train/mask/11.png
../data/train/image/12.jpg,../data/train/mask/12.png
../data/train/image/2.jpg,../data/train/mask/2.png
../data/train/image/20210604133544_pid2625_CqekU8.jpg,../data/train/mask/20210604133544_pid2625_CqekU8.png
../data/train/image/20210607135044_pid2625_NbgrVP.jpg,../data/train/mask/20210607135044_pid2625_NbgrVP.png
../data/train/image/20210607141527_pid2625_X6mN9W.jpg,../data/train/mask/20210607141527_pid2625_X6mN9W.png
../data/train/image/20210607141542_pid2625_pDLIHV.jpg,../data/train/mask/20210607141542_pid2625_pDLIHV.png
../data/train/image/20210607155530_pid2625_nLJn2j.jpg,../data/train/mask/20210607155530_pid2625_nLJn2j.png
../data/train/image/20210607170034_pid2625_Uofc3t.jpg,../data/train/mask/20210607170034_pid2625_Uofc3t.png
../data/train/image/20210607170118_pid2625_jxY7qQ.jpg,../data/train/mask/20210607170118_pid2625_jxY7qQ.png
../data/train/image/20210608153821_pid2625_WUQyVS.jpg,../data/train/mask/20210608153821_pid2625_WUQyVS.png
../data/train/image/20210609121203_pid2625_tnA6hP.jpg,../data/train/mask/20210609121203_pid2625_tnA6hP.png
../data/train/image/20210609121336_pid2625_ZDIUVV.jpg,../data/train/mask/20210609121336_pid2625_ZDIUVV.png
../data/train/image/20210609124133_pid2625_YG5nAk.jpg,../data/train/mask/20210609124133_pid2625_YG5nAk.png
../data/train/image/20210609130451_pid2625_BBNT5K.jpg,../data/train/mask/20210609130451_pid2625_BBNT5K.png
../data/train/image/20210609141734_pid2625_75CfZd.jpg,../data/train/mask/20210609141734_pid2625_75CfZd.png
../data/train/image/20210610113718_pid2625_paI77Z.jpg,../data/train/mask/20210610113718_pid2625_paI77Z.png
../data/train/image/20210610114548_pid2625_XTIuxX.jpg,../data/train/mask/20210610114548_pid2625_XTIuxX.png
../data/train/image/20210610122433_pid2625_eGm4gF.jpg,../data/train/mask/20210610122433_pid2625_eGm4gF.png
../data/train/image/20210610145336_pid2625_7pxikX.jpg,../data/train/mask/20210610145336_pid2625_7pxikX.png
../data/train/image/20210611124854_pid2625_uXBL4I.jpg,../data/train/mask/20210611124854_pid2625_uXBL4I.png
../data/train/image/20210611162621_pid2625_InjMKJ.jpg,../data/train/mask/20210611162621_pid2625_InjMKJ.png
../data/train/image/20210614140708_pid2625_6mwtkR.jpg,../data/train/mask/20210614140708_pid2625_6mwtkR.png
../data/train/image/20210614142736_pid2625_DixDoJ.jpg,../data/train/mask/20210614142736_pid2625_DixDoJ.png
../data/train/image/20210614143859_pid2625_n3gJqA.jpg,../data/train/mask/20210614143859_pid2625_n3gJqA.png
../data/train/image/20210614143940_pid2625_a4rXfH.jpg,../data/train/mask/20210614143940_pid2625_a4rXfH.png
../data/train/image/20210614145421_pid2625_PyNjbY.jpg,../data/train/mask/20210614145421_pid2625_PyNjbY.png
../data/train/image/20210614162128_pid2625_SNRwrq.jpg,../data/train/mask/20210614162128_pid2625_SNRwrq.png
../data/train/image/20210615120747_pid2625_A9yjyN.jpg,../data/train/mask/20210615120747_pid2625_A9yjyN.png
../data/train/image/20210615150656_pid2625_XSf5mo.jpg,../data/train/mask/20210615150656_pid2625_XSf5mo.png
